Date,PnL,NAV
2016-05-07,6929.63,1075912.98
2016-05-08,2008.95,1077921.93
2016-05-09,1525.39,1079447.32
2016-05-10,988.15,1080435.47
2016-05-12,2727.23,1083162.7
2016-05-13,193.0,1083355.7
2016-05-15,-7.08,1083348.6199999999
2016-05-16,240.41,1083589.03
2016-05-17,-244.99,1083344.04
2016-05-18,1136.2,1084480.24
2016-05-19,-418.65,1084061.5899999999
2016-05-20,172.67,1084234.26
2016-05-22,365.98,1084600.24
2016-05-23,569.12,1085169.3599999999
2016-05-24,4139.14,1089308.5
2016-05-25,613.38,1089921.88
2016-05-26,543.2,1090465.08
2016-05-27,207.59,1090672.67
2016-05-30,-1073.93,1089598.74
2016-05-31,1873.46,1091472.2
2016-06-01,-405.41,1091066.79
2016-06-03,281.7,1091348.49
2016-06-04,2521.51,1093870.0
2016-06-05,356.67,1094226.67
2016-06-06,48.41,1094275.08
2016-06-07,-2874.78,1091400.3
2016-06-09,422.04,1091822.3399999999
2016-06-10,2257.54,1094079.88
2016-06-11,536.64,1094616.52
2016-06-12,3758.42,1098374.94
2016-06-13,5149.06,1103524.0
2016-06-14,-20.98,1103503.02
2016-06-15,3027.36,1106530.38
2016-06-16,4751.59,1111281.97
2016-06-17,3561.5,1114843.47
2016-06-19,-4960.26,1109883.21
2016-06-20,1794.14,1111677.3499999999
2016-06-21,1504.11,1113181.46
2016-06-22,-834.31,1112347.15
2016-06-23,797.93,1113145.0799999998
2016-06-24,4458.52,1117603.5999999999
2016-06-26,-2750.51,1114853.0899999999
2016-06-27,-4170.0,1110683.0899999999
2016-06-28,456.64,1111139.73
2016-06-29,1602.24,1112741.97
2016-06-30,4295.41,1117037.38
2016-07-01,27.58,1117064.96
2016-07-03,0.0,1117064.96
2016-07-04,915.26,1117980.22
2016-07-06,984.54,1118964.76
2016-07-07,1879.14,1120843.9
2016-07-08,555.73,1121399.63
2016-07-09,-207.8,1121191.8299999998
2016-07-10,1631.79,1122823.6199999999
2016-07-11,-27.32,1122796.2999999998
2016-07-12,419.84,1123216.14
2016-07-13,3018.15,1126234.29
